date,sector,sector_sentiment,headline_count,active_ticker_count,dominant_ticker,headline_weighted_sentiment,difference_headline_minus_equal_ticker,absolute_difference,sign_reversal,pearson_correlation,spearman_correlation,observation_count
2020-04-09,Energy,0.1310592380952381,54,5.0,XOM,0.12032592592592593,-0.010733312169312156,0.010733312169312156,False,,,
2020-04-13,Energy,0.12250822710622711,44,5.0,XOM,0.053418181818181816,-0.0690900452880453,0.0690900452880453,False,,,
2020-04-14,Energy,-0.016609374999999992,22,4.0,OXY,0.0012181818181818177,0.01782755681818181,0.01782755681818181,True,,,
2020-04-15,Energy,0.0934378205128205,39,5.0,OXY,0.07414358974358974,-0.019294230769230758,0.019294230769230758,False,,,
2020-04-16,Energy,-0.01728035064935065,35,5.0,COP,-0.06928285714285715,-0.052002506493506497,0.052002506493506497,False,,,
2020-04-17,Energy,-0.09465570370370371,51,5.0,SLB,-0.022772549019607843,0.07188315468409587,0.07188315468409587,False,,,
2020-04-20,Energy,-0.1435638316080055,67,5.0,XOM,-0.13170149253731342,0.01186233907069209,0.01186233907069209,False,,,
2020-04-21,Energy,-0.2257781904761905,43,5.0,CVX,-0.20715348837209302,0.018624702104097474,0.018624702104097474,False,,,
2020-04-22,Energy,-0.029024999999999995,38,5.0,XOM,0.046444736842105275,0.07546973684210527,0.07546973684210527,True,,,
2020-04-23,Energy,0.18642186363636365,35,5.0,OXY,0.17756857142857144,-0.008853292207792213,0.008853292207792213,False,,,
2020-04-24,Energy,0.029020089285714284,20,4.0,XOM,-0.04356000000000001,-0.0725800892857143,0.0725800892857143,True,,,
2020-04-27,Energy,-0.01183416666666666,44,5.0,XOM,0.022220454545454547,0.0340546212121212,0.0340546212121212,True,,,
2020-04-28,Energy,0.03041597222222222,23,4.0,XOM,0.0449304347826087,0.014514462560386479,0.014514462560386479,False,,,
2020-04-29,Energy,0.18179214285714285,38,5.0,SLB,0.18449473684210527,0.0027025939849624203,0.0027025939849624203,False,,,
2020-04-30,Energy,0.044042213564213575,53,5.0,COP,0.04443773584905661,0.0003955222848430334,0.0003955222848430334,False,,,
2020-05-01,Energy,-0.12447247619047619,75,5.0,XOM,-0.11870133333333333,0.005771142857142864,0.005771142857142864,False,,,
2020-05-04,Energy,-0.006829685314685313,40,5.0,XOM,0.0010924999999999997,0.007922185314685313,0.007922185314685313,True,,,
2020-05-05,Energy,0.09811813131313131,36,5.0,OXY,0.05365833333333333,-0.04445979797979798,0.04445979797979798,False,,,
2020-05-06,Energy,0.19066535714285715,36,4.0,OXY,0.13176666666666667,-0.05889869047619048,0.05889869047619048,False,,,
2020-05-07,Energy,0.1820947619047619,25,5.0,XOM,0.173924,-0.008170761904761903,0.008170761904761903,False,,,
2020-05-08,Energy,0.19152833333333333,22,5.0,SLB,0.22640000000000002,0.03487166666666669,0.03487166666666669,False,,,
2020-05-11,Energy,-0.05607011111111111,25,5.0,XOM,-0.088344,-0.032273888888888894,0.032273888888888894,False,,,
2020-05-12,Energy,0.15184466666666668,26,5.0,XOM,0.11190384615384616,-0.039940820512820524,0.039940820512820524,False,,,
2020-05-13,Energy,-0.06230467532467532,25,5.0,XOM,-0.055892,0.006412675324675321,0.006412675324675321,False,,,
2020-05-14,Energy,-0.07579,12,5.0,SLB,-0.06315833333333333,0.012631666666666666,0.012631666666666666,False,,,
2020-05-15,Energy,0.1758016666666667,17,5.0,CVX,0.1769705882352941,0.0011689215686274124,0.0011689215686274124,False,,,
2020-05-18,Energy,0.14312569841269843,48,5.0,OXY,0.14455625,0.0014305515873015706,0.0014305515873015706,False,,,
2020-05-19,Energy,0.15552,9,4.0,XOM,0.1759111111111111,0.02039111111111111,0.02039111111111111,False,,,
2020-05-20,Energy,-0.022844285714285713,21,5.0,XOM,-0.018504761904761906,0.004339523809523807,0.004339523809523807,False,,,
